file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,corpus,-45.80503938660608,-45.87239788424584,3.89793929196005,8.143302735630987
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-43.816684027777775,-53.55412380511944,3.8811693907260953,11.443148868500742
F2BJRLP3,0.0,30.7068125,corpus,-46.003754884402476,-46.89761937082296,3.716452463819298,10.329792916197029
F2BJRLP2,0.0,28.6474375,corpus,-45.43467222949389,-45.72949251818583,3.596590356271761,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-43.235429592917676,-52.34914339505709,2.7196525242301144,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-44.7880859375,-50.88519477844238,2.5633459565624697,12.358243745435463
